year,class,round,session,pos,rider_id,number,team,maker,points,result
2010,MotoGP,4,RAC,4,casey-stoner,27,Ducati Marlboro Team,ドゥカティ,13,FIN
2010,MotoGP,4,RAC,5,marco-melandri,33,San Carlo Honda Gresini,ホンダ,11,FIN
2010,MotoGP,4,RAC,6,randy-de-puniet,14,LCR Honda MotoGP,ホンダ,10,FIN
2010,MotoGP,4,RAC,7,ben-spies,11,Monster Yamaha Tech 3,ヤマハ,9,FIN
2010,MotoGP,4,RAC,8,aleix-espargaro,41,Pramac Racing Team,ドゥカティ,8,FIN
2010,MotoGP,4,RAC,9,marco-simoncelli,58,San Carlo Honda Gresini,ホンダ,7,FIN
2010,MotoGP,4,RAC,10,loris-capirossi,65,Rizla Suzuki MotoGP,スズキ,6,FIN
2010,MotoGP,4,RAC,11,hiroshi-aoyama,7,Interwetten Honda MotoGP,ホンダ,5,FIN
2010,MotoGP,4,RAC,12,hector-barbera,40,Paginas Amarillas Aspar,ドゥカティ,4,FIN
2010,MotoGP,4,RAC,13,colin-edwards,5,Monster Yamaha Tech 3,ヤマハ,3,FIN
2010,MotoGP,4,RAC,14,alvaro-bautista,19,Rizla Suzuki MotoGP,スズキ,2,FIN
2010,MotoGP,4,RAC,,mika-kallio,36,Pramac Racing Team,ドゥカティ,,DNF
2010,MotoGP,4,RAC,,nicky-hayden,69,Ducati Marlboro Team,ドゥカティ,,DNF
2010,MotoGP,5,RAC,1,jorge-lorenzo,99,Fiat Yamaha Team,ヤマハ,25,FIN
2010,MotoGP,5,RAC,2,andrea-dovizioso,4,Repsol Honda Team,ホンダ,20,FIN
2010,MotoGP,5,RAC,3,ben-spies,11,Monster Yamaha Tech 3,ヤマハ,16,FIN
2010,MotoGP,5,RAC,4,nicky-hayden,69,Ducati Team,ドゥカティ,13,FIN
2010,MotoGP,5,RAC,5,casey-stoner,27,Ducati Team,ドゥカティ,11,FIN
2010,MotoGP,5,RAC,6,randy-de-puniet,14,LCR Honda MotoGP,ホンダ,10,FIN
2010,MotoGP,5,RAC,7,marco-simoncelli,58,San Carlo Honda Gresini,ホンダ,9,FIN
2010,MotoGP,5,RAC,8,dani-pedrosa,26,Repsol Honda Team,ホンダ,8,FIN
2010,MotoGP,5,RAC,9,colin-edwards,5,Monster Yamaha Tech 3,ヤマハ,7,FIN
2010,MotoGP,5,RAC,10,aleix-espargaro,41,Pramac Racing Team,ドゥカティ,6,FIN
2010,MotoGP,5,RAC,11,hector-barbera,40,Paginas Amarillas Aspar,ドゥカティ,5,FIN
2010,MotoGP,5,RAC,12,alvaro-bautista,19,Rizla Suzuki MotoGP,スズキ,4,FIN
2010,MotoGP,5,RAC,13,mika-kallio,36,Pramac Racing Team,ドゥカティ,3,FIN
2010,MotoGP,5,RAC,,loris-capirossi,65,Rizla Suzuki MotoGP,スズキ,,DNF
2010,MotoGP,5,RAC,,marco-melandri,33,San Carlo Honda Gresini,ホンダ,,DNF
2010,MotoGP,6,RAC,1,jorge-lorenzo,99,Fiat Yamaha Team,ヤマハ,25,FIN
2010,MotoGP,6,RAC,2,dani-pedrosa,26,Repsol Honda Team,ホンダ,20,FIN
2010,MotoGP,6,RAC,3,casey-stoner,27,Ducati Team,ドゥカティ,16,FIN
2010,MotoGP,6,RAC,4,ben-spies,11,Monster Yamaha Tech 3,ヤマハ,13,FIN
2010,MotoGP,6,RAC,5,andrea-dovizioso,4,Repsol Honda Team,ホンダ,11,FIN
2010,MotoGP,6,RAC,6,randy-de-puniet,14,LCR Honda MotoGP,ホンダ,10,FIN
2010,MotoGP,6,RAC,7,nicky-hayden,69,Ducati Team,ドゥカティ,9,FIN
2010,MotoGP,6,RAC,8,colin-edwards,5,Monster Yamaha Tech 3,ヤマハ,8,FIN
2010,MotoGP,6,RAC,9,marco-simoncelli,58,San Carlo Honda Gresini,ホンダ,7,FIN
2010,MotoGP,6,RAC,10,aleix-espargaro,41,Pramac Racing Team,ドゥカティ,6,FIN
2010,MotoGP,6,RAC,11,mika-kallio,36,Pramac Racing Team,ドゥカティ,5,FIN
2010,MotoGP,6,RAC,12,hector-barbera,40,Paginas Amarillas Aspar,ドゥカティ,4,FIN
