year,class,rider_id,team_id,entry_name,maker,machine,number,rank,points,status
2003,MotoGP,norifumi-abe,yamaha-factory,Fortuna Yamaha Team,ヤマハ,YZR-M1,,16,31,確認済
2003,MotoGP,john-hopkins,suzuki-factory,Suzuki Grand Prix Team,スズキ,GSV-R,,17,29,確認済
2003,MotoGP,jeremy-mcwilliams,team-kr,Proton Team KR,プロトンKR,,,18,27,確認済
2003,MotoGP,kenny-roberts-jr,suzuki-factory,Suzuki Grand Prix Team,スズキ,GSV-R,,19,22,確認済
2003,MotoGP,ryuichi-kiyonari,gresini,Telefónica Movistar Honda,ホンダ,RC211V,,20,22,確認済
2003,MotoGP,nobuatsu-aoki,team-kr,Proton Team KR,プロトンKR,,,21,19,確認済
2003,MotoGP,garry-mccoy,kawasaki-factory,Kawasaki Racing Team,カワサキ,ZX-RR,,22,11,確認済
2003,MotoGP,alex-hofmann,kawasaki-factory,Kawasaki Racing Team,カワサキ,ZX-RR,,23,8,確認済
2003,MotoGP,akira-ryo,suzuki-factory,Suzuki Grand Prix Team,スズキ,GSV-R,,24,6,確認済
2003,MotoGP,yukio-kagayama,suzuki-factory,Suzuki Grand Prix Team,スズキ,GSV-R,,25,4,確認済
2003,MotoGP,andrew-pitt,kawasaki-factory,Kawasaki Racing Team,カワサキ,ZX-RR,,26,4,確認済
2003,MotoGP,tamaki-serizawa,moriwaki,Moriwaki Racing,モリワキ,,,27,0,確認済
2003,MotoGP,akira-yanagawa,kawasaki-factory,Kawasaki Racing Team,カワサキ,ZX-RR,,28,0,確認済
2003,MotoGP,jose-david-de-gea,wcm,WCM,WCM,ハリスWCM（ヤマハR1ベースエンジン）,,29,0,確認済
2003,MotoGP,chris-burns,wcm,WCM,WCM,ハリスWCM（ヤマハR1ベースエンジン）,,30,0,確認済
2003,MotoGP,daijiro-kato,gresini,Telefónica Movistar Honda,ホンダ,RC211V,,31,0,確認済
2004,MotoGP,valentino-rossi,yamaha-factory,Gauloises Fortuna Yamaha,ヤマハ,YZR-M1,,1,304,確認済
2004,MotoGP,sete-gibernau,gresini,Telefónica Movistar Honda MotoGP,ホンダ,RC211V,,2,257,確認済
2004,MotoGP,max-biaggi,pons,Camel Honda,ホンダ,RC211V,,3,217,確認済
2004,MotoGP,alex-barros,honda-hrc,Repsol Honda Team,ホンダ,RC211V,,4,165,確認済
2004,MotoGP,colin-edwards,gresini,Telefónica Movistar Honda MotoGP,ホンダ,RC211V,,5,157,確認済
2004,MotoGP,makoto-tamada,pons,Camel Honda,ホンダ,RC211V,,6,150,確認済
2004,MotoGP,carlos-checa,yamaha-factory,Gauloises Fortuna Yamaha,ヤマハ,YZR-M1,,7,117,確認済
2004,MotoGP,nicky-hayden,honda-hrc,Repsol Honda Team,ホンダ,RC211V,,8,117,確認済
2004,MotoGP,loris-capirossi,ducati-lenovo,Ducati Marlboro Team,ドゥカティ,デスモセディチ,,9,117,確認済
2004,MotoGP,shinya-nakano,kawasaki-factory,Kawasaki Racing Team,カワサキ,ZX-RR,,10,83,確認済
2004,MotoGP,ruben-xaus,dantin,D'Antin MotoGP,ドゥカティ,デスモセディチ,,11,77,確認済
2004,MotoGP,marco-melandri,tech3,Fortuna Gauloises Tech 3,ヤマハ,YZR-M1,,12,75,確認済
2004,MotoGP,norifumi-abe,tech3,Fortuna Gauloises Tech 3,ヤマハ,YZR-M1,,13,74,確認済
2004,MotoGP,troy-bayliss,ducati-lenovo,Ducati Marlboro Team,ドゥカティ,デスモセディチ,,14,71,確認済
2004,MotoGP,alex-hofmann,kawasaki-factory,Kawasaki Racing Team,カワサキ,ZX-RR,,15,51,確認済
2004,MotoGP,john-hopkins,suzuki-factory,Team Suzuki MotoGP,スズキ,GSV-R,,16,45,確認済
2004,MotoGP,neil-hodgson,dantin,D'Antin MotoGP,ドゥカティ,デスモセディチ,,17,38,確認済
2004,MotoGP,kenny-roberts-jr,suzuki-factory,Team Suzuki MotoGP,スズキ,GSV-R,,18,37,確認済
